Source Titles	records	% of 5004
FRONTIERS IN MICROBIOLOGY	143	2.858
FOOD FUNCTION	120	2.398
FISH SHELLFISH IMMUNOLOGY	110	2.198
PLOS ONE	97	1.938
JOURNAL OF DAIRY SCIENCE	94	1.878
APPLIED MICROBIOLOGY AND BIOTECHNOLOGY	91	1.819
JOURNAL OF FUNCTIONAL FOODS	88	1.759
AQUACULTURE	73	1.459
SCIENTIFIC REPORTS	73	1.459
WORLD JOURNAL OF GASTROENTEROLOGY	65	1.299
JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY	60	1.199
PROBIOTICS AND ANTIMICROBIAL PROTEINS	55	1.099
NUTRIENTS	54	1.079
POULTRY SCIENCE	54	1.079
JOURNAL OF FOOD SCIENCE	49	0.979
LWT FOOD SCIENCE AND TECHNOLOGY	49	0.979
AQUACULTURE RESEARCH	48	0.959
JOURNAL OF APPLIED MICROBIOLOGY	48	0.959
MEDICINE	47	0.939
BENEFICIAL MICROBES	42	0.839
INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES	38	0.759
JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY	34	0.679
JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE	33	0.659
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES	31	0.620
ASIAN AUSTRALASIAN JOURNAL OF ANIMAL SCIENCES	28	0.560
(996 Source Titles value(s) outside display options.)
(0 records (0.000%) do not contain data in the field being analyzed.)
