Organizations-Enhanced	records	% of 5004
JIANGNAN UNIVERSITY	238	4.756
CHINESE ACADEMY OF SCIENCES	219	4.376
ZHEJIANG UNIVERSITY	214	4.277
CHINA AGRICULTURAL UNIVERSITY	195	3.897
SHANGHAI JIAO TONG UNIVERSITY	187	3.737
CHINESE ACADEMY OF AGRICULTURAL SCIENCES	147	2.938
BEIJING TECHNOLOGY BUSINESS UNIVERSITY	145	2.898
NATIONAL TAIWAN UNIVERSITY	137	2.738
NORTHEAST AGRICULTURAL UNIVERSITY CHINA	133	2.658
INNER MONGOLIA AGRICULTURAL UNIVERSITY	127	2.538
NANCHANG UNIVERSITY	122	2.438
NANJING AGRICULTURAL UNIVERSITY	109	2.178
NATIONAL CHUNG HSING UNIVERSITY	103	2.058
CHINA MEDICAL UNIVERSITY TAIWAN	95	1.898
OCEAN UNIVERSITY OF CHINA	92	1.839
SICHUAN UNIVERSITY	92	1.839
UNIVERSITY OF HONG KONG	92	1.839
SUN YAT SEN UNIVERSITY	91	1.819
HUAZHONG AGRICULTURAL UNIVERSITY	87	1.739
UNIVERSITY OF CHINESE ACADEMY OF SCIENCES CAS	86	1.719
NORTHWEST A F UNIVERSITY CHINA	85	1.699
JILIN UNIVERSITY	73	1.459
SICHUAN AGRICULTURAL UNIVERSITY	71	1.419
CHINESE ACADEMY OF FISHERY SCIENCES	62	1.239
TAIPEI MEDICAL UNIVERSITY	60	1.199
(3036 Organizations-Enhanced value(s) outside display options.)
(0 records (0.000%) do not contain data in the field being analyzed.)
