Source Titles	records	% of 37839
PLOS ONE	581	1.535
FRONTIERS IN MICROBIOLOGY	577	1.525
LWT FOOD SCIENCE AND TECHNOLOGY	512	1.353
BENEFICIAL MICROBES	495	1.308
PROBIOTICS AND ANTIMICROBIAL PROTEINS	485	1.282
GASTROENTEROLOGY	482	1.274
JOURNAL OF DAIRY SCIENCE	460	1.216
NUTRIENTS	441	1.165
JOURNAL OF APPLIED MICROBIOLOGY	437	1.155
APPLIED AND ENVIRONMENTAL MICROBIOLOGY	401	1.060
INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY	377	0.996
JOURNAL OF CLINICAL GASTROENTEROLOGY	372	0.983
POULTRY SCIENCE	352	0.930
JOURNAL OF FUNCTIONAL FOODS	346	0.914
FISH SHELLFISH IMMUNOLOGY	304	0.803
AQUACULTURE	298	0.788
FOOD RESEARCH INTERNATIONAL	288	0.761
SCIENTIFIC REPORTS	286	0.756
APPLIED MICROBIOLOGY AND BIOTECHNOLOGY	256	0.677
BRITISH JOURNAL OF NUTRITION	253	0.669
WORLD JOURNAL OF GASTROENTEROLOGY	238	0.629
INTERNATIONAL DAIRY JOURNAL	234	0.618
ANNALS OF NUTRITION AND METABOLISM	224	0.592
JOURNAL OF ANIMAL SCIENCE	216	0.571
JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION	205	0.542
(3335 Source Titles value(s) outside display options.)
(0 records (0.000%) do not contain data in the field being analyzed.)
