Organizations-Enhanced	records	% of 37839
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC	596	1.575
UNIVERSITY COLLEGE CORK	577	1.525
INRAE	564	1.491
UNIVERSITY OF CALIFORNIA SYSTEM	528	1.395
CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET	497	1.313
INDIAN COUNCIL OF AGRICULTURAL RESEARCH ICAR	410	1.084
UNIVERSITY OF TURKU	396	1.047
ISLAMIC AZAD UNIVERSITY	374	0.988
UNIVERSITY OF LONDON	351	0.928
UNIVERSIDADE DE SAO PAULO	350	0.925
UNIVERSITY OF NORTH CAROLINA	349	0.922
HARVARD UNIVERSITY	338	0.893
WAGENINGEN UNIVERSITY RESEARCH	322	0.851
UNIVERSITY OF BOLOGNA	314	0.830
UNIVERSITY OF HELSINKI	314	0.830
INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE INSERM	311	0.822
UNIVERSITY OF COPENHAGEN	297	0.785
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS	296	0.782
UNITED STATES DEPARTMENT OF AGRICULTURE USDA	279	0.737
UNIVERSITY OF MILAN	257	0.679
UNIVERSITY OF NAPLES FEDERICO II	254	0.671
GHENT UNIVERSITY	246	0.650
NESTLE SA	240	0.634
JIANGNAN UNIVERSITY	238	0.629
TEAGASC	238	0.629
(15582 Organizations-Enhanced value(s) outside display options.)
(965 records (2.550%) do not contain data in the field being analyzed.)
