Publication Years	records	% of 37839
2020	4274	11.295
2019	4261	11.261
2018	3421	9.041
2017	3007	7.947
2016	2574	6.803
2015	2373	6.271
2014	2201	5.817
2013	1983	5.241
2012	1954	5.164
2011	1682	4.445
2010	1607	4.247
2009	1351	3.570
2008	1237	3.269
2007	1139	3.010
2006	905	2.392
2005	808	2.135
2004	690	1.824
2003	494	1.306
2002	492	1.300
2001	359	0.949
2000	257	0.679
1999	220	0.581
1998	182	0.481
1997	95	0.251
1996	61	0.161
1995	43	0.114
1994	32	0.085
1993	36	0.095
1992	20	0.053
1991	25	0.066
1990	10	0.026
1989	7	0.018
1988	10	0.026
1987	5	0.013
1985	2	0.005
1984	1	0.003
1983	1	0.003
1979	1	0.003
1978	3	0.008
1977	2	0.005
1976	1	0.003
1975	3	0.008
1974	2	0.005
1973	1	0.003
1972	2	0.005
1970	1	0.003
1966	1	0.003
1965	2	0.005
1935	1	0.003
(0 records (0.000%) do not contain data in the field being analyzed.)
